Brand,VendorName,PurchasePrice
3949,ULTRA BEVERAGE COMPANY LLP ,5681.81
2367,MOET HENNESSY USA INC      ,4264.7
423,MOET HENNESSY USA INC      ,3352.93
8385,WILLIAM GRANT & SONS INC   ,2713.17
1251,DIAGEO NORTH AMERICA INC   ,2661.86
5795,JIM BEAM BRANDS COMPANY    ,2518.51
500,REMY COINTREAU USA INC     ,2290.07
3255,"STOLI GROUP,(USA) LLC      ",2222.21
4109,MOET HENNESSY USA INC      ,2109.37
1176,DIAGEO NORTH AMERICA INC   ,1574.8
1300,WILLIAM GRANT & SONS INC   ,1550.38
20063,SOUTHERN WINE & SPIRITS NE ,1456.95
2823,EDRINGTON AMERICAS         ,1111.1
21799,PINE STATE TRADING CO      ,1103.44
368,EDRINGTON AMERICAS         ,1015.62
1719,CONSTELLATION BRANDS INC   ,923.07
1263,DIAGEO NORTH AMERICA INC   ,916.0199999999999
2969,JIM BEAM BRANDS COMPANY    ,875.9100000000001
35989,PERFECTA WINES             ,844.15
717,WILLIAM GRANT & SONS INC   ,781.24
1994,JIM BEAM BRANDS COMPANY    ,775.1899999999999
36063,PERFECTA WINES             ,753.42
2953,JIM BEAM BRANDS COMPANY    ,746.2599999999999
1598,DIAGEO NORTH AMERICA INC   ,736.43
23281,SOUTHERN WINE & SPIRITS NE ,637.58
425,MOET HENNESSY USA INC      ,620.15
9291,MOET HENNESSY USA INC      ,620.15
23327,SOUTHERN WINE & SPIRITS NE ,616.43
17408,PERFECTA WINES             ,608.1
1193,DIAGEO NORTH AMERICA INC   ,592.59
21440,PERFECTA WINES             ,583.89
6044,MOET HENNESSY USA INC      ,523.43
17407,PERFECTA WINES             ,522.87
17394,PERFECTA WINES             ,519.47
21465,PERFECTA WINES             ,517.0
25718,MARTIGNETTI COMPANIES,487.01
24313,SOUTHERN WINE & SPIRITS NE ,480.51
23289,SOUTHERN WINE & SPIRITS NE ,479.45
36075,PERFECTA WINES             ,475.5
2738,WILLIAM GRANT & SONS INC   ,458.01
90090,ALISA CARR BEVERAGES           ,448.27
22939,PINE STATE TRADING CO      ,442.56
27619,MARTIGNETTI COMPANIES,442.38
43513,DIAGEO CHATEAU ESTATE WINES,410.95
2328,MARTIGNETTI COMPANIES,406.01
2827,WILLIAM GRANT & SONS INC   ,396.82
883,ULTRA BEVERAGE COMPANY LLP ,390.62
1808,MOET HENNESSY USA INC      ,373.13
10402,MARTIGNETTI COMPANIES,372.41
20061,SOUTHERN WINE & SPIRITS NE ,369.86
27516,ULTRA BEVERAGE COMPANY LLP ,367.74
20062,SOUTHERN WINE & SPIRITS NE ,364.86
23762,PERFECTA WINES             ,360.54
23755,PERFECTA WINES             ,359.86
20067,SOUTHERN WINE & SPIRITS NE ,353.73
1722,BROWN-FORMAN CORP          ,351.55
1217,DIAGEO NORTH AMERICA INC   ,346.15
5001,DIAGEO NORTH AMERICA INC   ,338.34
385,MARTIGNETTI COMPANIES,327.0
1245,DIAGEO NORTH AMERICA INC   ,319.99000000000007
2204,JIM BEAM BRANDS COMPANY    ,318.51
18099,MARTIGNETTI COMPANIES,315.75
20064,SOUTHERN WINE & SPIRITS NE ,315.43
90087,ALISA CARR BEVERAGES           ,311.25
25457,PERNOD RICARD USA          ,308.82
19954,SOUTHERN WINE & SPIRITS NE ,308.21
27989,MARTIGNETTI COMPANIES,307.18
24553,M S WALKER INC             ,301.93
2842,JIM BEAM BRANDS COMPANY    ,300.74
6166,CONSTELLATION BRANDS INC   ,300.74
14364,MARTIGNETTI COMPANIES,299.99
15688,PERFECTA WINES             ,299.99
23292,SOUTHERN WINE & SPIRITS NE ,299.31
21466,PERFECTA WINES             ,298.01
2846,WILLIAM GRANT & SONS INC   ,294.11
36071,PERFECTA WINES             ,289.18
19558,M S WALKER INC             ,289.11
2850,ULTRA BEVERAGE COMPANY LLP ,285.71
4041,ULTRA BEVERAGE COMPANY LLP ,285.71
19459,M S WALKER INC             ,279.6
36078,PERFECTA WINES             ,279.45
24888,ULTRA BEVERAGE COMPANY LLP ,278.14
5430,MOET HENNESSY USA INC      ,275.58
27275,ULTRA BEVERAGE COMPANY LLP ,275.16
21171,ULTRA BEVERAGE COMPANY LLP ,274.5
23745,PERFECTA WINES             ,271.42
24827,ULTRA BEVERAGE COMPANY LLP ,270.26
2421,EDRINGTON AMERICAS         ,265.14
19970,SOUTHERN WINE & SPIRITS NE ,263.15
11668,KOBRAND CORPORATION        ,260.54
14681,MARTIGNETTI COMPANIES,259.99
5370,ULTRA BEVERAGE COMPANY LLP ,255.47
4511,MHW LTD                    ,249.99
82,MARTIGNETTI COMPANIES,248.34
17409,PERFECTA WINES             ,246.66
26671,M S WALKER INC             ,244.89000000000001
2748,DIAGEO NORTH AMERICA INC   ,240.58999999999997
36070,PERFECTA WINES             ,240.26
2289,PERFECTA WINES             ,239.19
22600,ULTRA BEVERAGE COMPANY LLP ,236.84
86,DIAGEO NORTH AMERICA INC   ,236.21
17601,SOUTHERN WINE & SPIRITS NE ,234.48
3004,SAZERAC CO INC             ,234.37
2439,EDRINGTON AMERICAS         ,234.37
8070,EDRINGTON AMERICAS         ,233.57
21444,PERFECTA WINES             ,232.87
25449,KOBRAND CORPORATION        ,231.78
19783,MARTIGNETTI COMPANIES,230.26
2660,PERNOD RICARD USA          ,229.0
21194,MARTIGNETTI COMPANIES,227.27
1812,JIM BEAM BRANDS COMPANY    ,225.55999999999997
22941,PINE STATE TRADING CO      ,225.15
